Name,Description,Indian
Aravan,Righteous,Indian
Ardaman,Please advise us the meaning of this name.,Indian
Arham,The word is just like OM for Jain community,Indian
Arhan,The ruler; Winner; King,Indian
Arhant,Destroyer of enemies,Indian
Arhit,Honored or saluted,Indian
Arihant,One who has killed his enemies,Indian
Arin,Please advise us the meaning of this name.,Indian
Ariv,Ariv meaning king of wisdom,Indian
Arivalagan,Intelligent and handsome,Indian
Arivali,"Smart, intelligent",Indian
Arivarasu,King of wisdom,Indian
Arivoli,Glowing with intelligence,Indian
Arivuchelvan,One whose wealth is his wisdom,Indian
Arivumadhi,Intelligent,Indian
Arivumani,Intelligent jem,Indian
Arivunambi,Confident and intelligent,Indian
Arka,The sun,Indian
Arpit,"Generous; One who show a readiness to give more of something, than is strictly necessary or expected.",Indian
Arshad,Pious,Indian
ARSHAN ALI,PLZ ADD THIS NAME,Indian
Arshil,Please advise us the meaning of this name.,Indian
Arthav,Please advise us the meaning of this name.,Indian
Arulchelvan,Blessed,Indian
Arumugan,Lord murugan,Indian
Arush,"First Ray of the Sun, Calm, Red, Brilliant, Another name for the Sun",Indian
Arvind,Lotus,Indian
Arvinda,Arabinda lotus,Indian
Aryaveer,A brave and noble man,Indian
Asao,Asav essence,Indian
Asgar,Devotee,Indian
Ashanul,Please advise us the meaning of this name!,Indian
Ashiq,Lover,Indian
Ashish,Blessing,Indian
Ashraf,Without grief,Indian
Ashukumar,"Ashu means happy and In sanskrit ""Kumar"" means Son, Bor or Prince.",Indian
Ashvin,A cavalier,Indian
Ashvish,A-Akhil V- vishvacha Ish - ishvar,Indian
Ashwatthama,Fiery tempered,Indian
Asif,Kind and Forgiveness,Indian
Asit,Ashit the planet,Indian
Aslam,Please advise us the meaning of this name.,Indian
Asra,Please advise us the meaning of this name.,Indian
Atirath,Please advise us the meaning of this name!,Indian
Atiya,To surpass,Indian
Atma,Soul,Indian
Atmananda,Bliss of soul,Indian
Atralarasu,Skilled king,Indian
Atreya,Receptacle of glory,Indian
Atul,Matchless,Indian
Atulya,"Unweighable, incomparable",Indian
Avayansh,Please advise us the meaning of this name!,Indian
Avendra,Please advise us the meaning of this name.,Indian
Avesh,Avesh,Indian
Avinash mishra,VHCHH VTG FGFD T FD T,Indian
Avineet,Please advise us the meaning of this name.,Indian
Aviral,Continuous or Ongoing.,Indian
Avkash,Limitless space Avatar incarnation,Indian
Ayara,Yaara,Indian
Ayog,Institution,Indian
Ayush Raj,Please advise us the meaning of this name.,Indian
Ayushman,Blessed with long life,Indian
Ayyapan,Ever youthful,Indian
Azaam,Please advise us the meaning of this name.,Indian
Azhar,Please advise us the meaning of this name.,Indian
Babe,Umang,Indian
Babi,Like a doll,Indian
Babita,Please advise us the meaning of this name.,Indian
Bablu,One who is bubbly.,Indian
Babul,Please advise us the meaning of this name.,Indian
Babul chouban,Please advise us the meaning of this name.,Indian
Badriprasad,Goft of Badri,Indian
Bahubali,A Jain Tirthakar,Indian
Bahuleya,Lord Kartikeya,Indian
Bahumanya,Honoured by many,Indian
Bahurai,With great riches,Indian
Bajrang,A name of Lord Hanuman.,Indian
Bajranglal,Please advise us the meaning of this name.,Indian
Bakhtawar,One who brings good luck,Indian
Bakode,Please advise us the meaning of this name.,Indian
Balaaditya,Young sun,Indian
Balachandra,Young moon,Indian
Balachandrav,The crescent moon,Indian
Baladhi,Deep insight,Indian
Baladhitya,The newly risen sun,Indian
Balagovind,Baby Krishna,Indian
Balakrishna,Young krishna,Indian
Balakumar,Youthful,Indian
Balamani,Young jewel,Indian
Balamohan,One who is attractive,Indian
Balamurugan,Young lord murugan,Indian
Balan,Youthful,Indian
Balanath,Lord of strength,Indian
Balaravi,The morning sun,Indian
Baldev,Godlike in power,Indian
Balvindra,Balvinder strong,Indian
Banbihari,Lord Krishna,Indian
Banish,Please advise us the meaning of Banish.,Indian
Bankebihari,Lord Krishna,Indian
Banti,Please advise us the meaning of this name.,Indian
Barid,Cloud,Indian
Baridbaran,Colour of the cloud,Indian
Baro swamkhur,Swamkhur baro,Indian
Barun,Lord of the Sea,Indian
Basanta,Spring,Indian
Basavaraj,Lord of bulls,Indian
Bashu,Optimistic; Joyful; Cheerful.,Indian
Basistha,A sage,Indian
Basudha,Earth,Indian
Beero,Please advise us the meaning of this name.,Indian
Bhadraksh,One with beautiful eyes,Indian
Bhadrang,Beautiful body,Indian
Bhadranidhi,Treasure of goodness,Indian
Bhagaditya,The sun which bestows wealth,Indian
Bhagirat,With glorious chariot,Indian
Bhagwant,Fortunate,Indian
Bhagwat,Please advise us the meaning of this name.,Indian
Bhagyanandana,Controller of destiny,Indian
Bhairav,Lord Shiva,Indian
Bhanu,Sun,Indian
Bhanudas,A devotee of the sun,Indian
Bhanuprasad,Gift of sun,Indian
Bhardwaj,Ugrasen Please advise us the meaning of this name!,Indian
Bhargava,Lord Shiva,Indian
Bhargyaraj,Lord of luck,Indian
Bhashi,Please advise us the meaning of this name.,Indian
Bhasker,Please advise us the meaning of this name.,Indian
Bhavamanyu,Creator of universe,Indian
Bhavik,Please advise us the meaning of this name.,Indian
Bhavin,Please advise us the meaning of this name.,Indian
BHEEKSINGH,Shop name north Indian s,Indian
Bhogendra,Please advise us the meaning of this name.,Indian
Bhojaraja,Lord of generosity,Indian
Bhola,Please advise us the meaning of this name.,Indian
Bhoop Chandra,Please advise us the meaning of this name.,Indian
Bhooshan,Decoration,Indian
Bhumi,Earth,Indian
Bhupathi,Lord of the earth,Indian
Bhuvan,"Palace, one of the three worlds",Indian
Bhuvanesh,Lord of the worlds,Indian
Bibhavasu,The sun; fire,Indian
Bijal,Lightning,Indian
Biken,Please advise us the meaning of this name.,Indian
Bilal,"In Islam, it means First Muezzin (Caller to prayer) Or Companion of Prophet Muhammad.",Indian
Bilva,A sacred leaf,Indian
Bipin,Forest (Vipin),Indian
Bitasok,One who does not mourn,Indian
Bou,The lion of father,Indian
Boudhayan,The name of a sage,Indian
Brahmabrata,Ascetic,Indian
Brahmadutt,Dedicated to Lord Brahma,Indian
Brijen,Please advise us the meaning of this name.,Indian
Buddhadev,Wise person,Indian
Buddhadeva,Gautama Buddha,Indian
Budhil,Learned,Indian
Bukka,"Heart, loving, sincere",Indian
Bulet kuma,Bulet,Indian
Chakradev,Lord Vishnu,Indian
Chakradhar,Lord Vishnu,Indian
Chamanlal,Garden,Indian
Chandak,The moon,Indian
Chandrabhan,The moon,Indian
Chandrakanta,The moon,Indian
Chandrakiran,Moonbeam,Indian
Chandrakirthi,As famous as the moon,Indian
Chandrakishore,The moon,Indian
Chandrakumar,The moon,Indian
Chandramohan,Attractive like the moon,Indian
Chandran,The moon,Indian
Chandranath,The moon,Indian
Chandrapal,Master of the Moon,Indian
Chandraprakash,Moonlight,Indian
Chandraraj,Moonbeam,Indian
Chandrashekar,Lord Shiva,Indian
Chandratha,Nectar of the moon,Indian
Chandrodaya,Moonrise,Indian
Chanyana,Moon,Indian
Charanjit,One who has won over the lord (Charanjeet),Indian
Charudatta,Born with beauty,Indian
Charudutta,Born of beauty,Indian
Charuvardhana,One who enhances beauty,Indian
Charuvindha,Striving for beauty,Indian
Chaturbhuj,Four armed,Indian
Cheliyan,"Rich, resourceful, prosperous",Indian
Chellamani,Precious gem,Indian
Chellamuthu,Precious pearl,Indian
Chellapan,Precious,Indian
Chemmal,"Premier, best",Indian
Chesav,Please advise us the meaning of this name!,Indian
Chevatkodiyon,Lord Murugan,Indian
Chidambaram,Home of Lord Shiva,Indian
Chikalwas main road,Main road,Indian
Chiman,Curious,Indian
Chinmay,Full of knowledge,Indian
Chinmayananda,"Blissful, supreme consciousness",Indian
Chinnadurai,Prince,Indian
Chinthanaichelvan,"Intelligent, thoughtful",Indian
Chintoo Kumar,Want to know my Name meaning,Indian
Chintya,Worthy of thought,Indian
Chiranjeev,Longlived,Indian
Chirtrang,With multicolored body,Indian
Chithayu,Born of intellect,Indian
Chitrabhanu,Fire,Indian
Chitragupta,Secret picture,Indian
Chitraksh,Beautiful eyed,Indian
Chitral,Of variegated colour,Indian
Chitranjan,Please advise us the meaning of this name.,Indian
Chitrarath,The sun,Indian
Chitrasen,A king of Gandharvas,Indian
Chitresh,"Moon, wonderful lord",Indian
Chittaswarup,The supreme spirit,Indian
Chunnu,Please advise us the meaning of this name.,Indian
Dabeet,Warrior,Indian
Daha,"Blazing, very bright",Indian
Daivya,Divine,Indian
Daiwik,By the grace of God,Indian
Dakshesh,Shiva,Indian
Dakshi,The glorious,Indian
Dalajit,Winning over a group,Indian
Dalapathi,Leader of a group,Indian
Dalbhya,Belonging to wheels,Indian
Daman,One who controls,Indian
Damian,Tamer,Indian
Damith,Independent,Indian
Damodar,With a rope around the waist,Indian
Dana,Please advise us the meaning of this name.,Indian
Danuj,"Born of danu, a danava",Indian
Danvir,Charitable,Indian
Darpak,"Kamdev, god of love",Indian
Darpan,A mirror,Indian
Darshan,"Paying respect, religious text",Indian
Daruka,Deodar tree,Indian
DASARATHI GOUDA,Thanks,Indian
Dasharath,The father of Lord Rama,Indian
Dasharathi,Lord Rama,Indian
Dasmaya,Beautiful,Indian
Dattatreya,"A son of Atri, a god",Indian
Davani,Please advise us the meaning of this name!,Indian
Dayada,"Son, inheritor",Indian
Dayakara,Compassionate,Indian
Dayanand,One who likes being merciful,Indian
Dayanidhi,Treasure house of mercy,Indian
Dayasagara,Ocean of compassionate,Indian
Dayashankar,Merciful Lord Shiva,Indian
Debashis,Benediction of god,Indian
Debashish,Pleased by gods,Indian
Deedar,Please advise us the meaning of this name!,Indian
Deenabandhu,Friend of the poor,Indian
Deenash,I want to know the meaning of this name?,Indian
Deendayal,Deendayal nagar,Indian
Deenu,Deenu,Indian
Deep,A lamp,Indian
DEEPAK KUMAR,RISHI,Indian
Deepak lodhi,Deepak Kumar Lodhi,Indian
Deepan,Lighting up,Indian
Deepankar,One who lights lamps,Indian
Deependra,Lord of light,Indian
Deependu,Bright moon,Indian
Deepesh,Lord of light,Indian
Deepit,Lighted,Indian
Deepshika,Tell me about my future,Indian
Deeptanshu,The sun,Indian
Deeptendu,Bright moon,Indian
Deeptiman,Lustrous,Indian
Deeptimoy,Lustrous,Indian
Deepu,"Flame, Light, Shinning",Indian
Deji,Please advise us the meaning of this name.,Indian
Deramal,Please advise us the meaning of this name.,Indian
Desita,"Joy, happiness",Indian
Dev,"God, king",Indian
Devabrata,A name of Bhisma,Indian
Devachandra,Moon among the gods,Indian
Devadarshan,Familiar with gods,Indian
Devadas,Follower of God,Indian
Devadatta,God given,Indian
Devadhipa,Lord of the gods,Indian
Devadutt,Gift of god,Indian
Devadyumna,Glory of the gods,Indian
Devaj,A gift from God.,Indian
Devajyoti,Brightness of the Lord,Indian
Devakantha,Beloved of the gods,Indian
Devamadana,Gladdening the gods,Indian
Devanand,Joy of god,Indian
Devang,From god,Indian
Devansh,Please advise us the meaning of this name.,Indian
Devaraj,King of the gods,Indian
Devarpana,Offerings to the gods,Indian
Devarsi,Sage of the Devas,Indian
Devarya,Divine belief,Indian
Devashan,Please advise us the meaning of this name.,Indian
Devdas,Servant of god,Indian
Devdutta,King,Indian
Devendra,King of gods,Indian
Devesh,God of gods,Indian
Devilal,Son of godess,Indian
Deviprasad,Gift of godess,Indian
Devnarayan,King,Indian
Devnath,King of gods,Indian
Devraj,King of gods,Indian
Dhanabalan,Please advise us the meaning of this name.,Indian
Dhanajit,Wealth,Indian
Dhanishak,Please advise us the meaning of this name.,Indian
Dhanisk,Please advise us the meaning of this name.,Indian
Dhanraj,Lord Kuber,Indian
Dhansukh,Wealthy; happy,Indian
Dhanvant,Wealthy,Indian
Dharam,Please advise us the meaning of this name.,Indian
Dharendra,King of the earth,Indian
Dharmachandra,Moon of dharma,Indian
Dharmadas,One who serves his religion,Indian
Dharmadev,Lord of law,Indian
Dharmaditya,Son of dharma,Indian
Dharmanand,One who takes pleasure in his religion,Indian
Dharmil,"Good religeonist; Dharmil is derived from the word ""dharm"" and it means those who is devoted to a religion.",Indian
Dharmpal,Protector of his religion,Indian
Dharmveer,Religious,Indian
Dhaval,Fair complexioned,Indian
Dhavalachandra,White moon,Indian
Dheer,Gentle,Indian
Dheeraj,Dheeraj,Indian
Dheeran,Achiever,Indian
Dheerendra,God of courage,Indian
Dheivamani,Blessed gem,Indian
Dhevan,Godly,Indian
Dhevaneyan,Pious,Indian
Dhikshit,Initiated,Indian
Dhinakar,The sun,Indian
Dhinanta,Evening,Indian
Dhipin,Exciting,Indian
Dhirendra,Lord of the brave,Indian
Dhruv,Pole star,Indian
Dhruvik,Please advise us the meaning of this name.,Indian
Dhurup,Please advise us the meaning of this name.,Indian
Dhvanya,Suggested meaning,Indian
Dhwani,Sound,Indian
Dhyana,Meditation,Indian
Digamber,Nacked,Indian
Dikendra,Please advise us the meaning of this name.,Indian
Dikesh,Please advise us the meaning of this name.,Indian
Dilip,"A king, ancestor of Rama",Indian
Dilshan,Please advise us the meaning of this name.,Indian
Dinanath,Protector,Indian
Dinapati,The sun,Indian
Dinar,Gold coin,Indian
Dindayal,Kindto the poor,Indian
Divakar,Sun,Indian
Divy prakash srivastava,Arnav,Indian
Divyanga,Divine body,Indian
Divyendu,Bright moon,Indian
Dj bittu,Bittu,Indian
Doman,Please advise us the meaning of this name.,Indian
Drupad,"A king, father of Draupadi",Indian
Dulal,Dear one,Indian
DuraiMurugan,Lord Murugan,Indian
Duranjaya,A heroic son,Indian
Dwarikanath,Please advise us the meaning of this name.,Indian
Dwijaraj,King of Brahmins; the moon,Indian
Dwijendra,King of Brahmins; the moon,Indian
Dyumani,Lord Shiva,Indian
Dyutit,Illuminated,Indian
Edhas,Happiness,Indian
Edi,Herb,Indian
Ednit,Evolved,Indian
Eeshwar,God,Indian
Egaiarasu,King of charity,Indian
Eha,Lord Vishnu,Indian
Ehimay,All pervasive,Indian
Ehtesham Zafar,Please advise us the meaning of this name!,Indian
Ekachandra,The only moon,Indian
Ekachith,With one mind,Indian
Ekaksha,Lord Shiva,Indian
Ekalinga,. Shiva,Indian
Ekana,Lord Vishnu,Indian
Ekanga,. bogyguard,Indian
Ekapad,Lord Shiva,Indian
Ekatan,Closely attentive,Indian
Ekram,Honour,Indian
Elango,"Prince, author of tamil masterpiece Silappadhikaram",Indian
Elil,Handsome,Indian
Elilarasan,"Handsome, king of beauty",Indian
Elilarasu,"Handsome, king of beauty",Indian
Elilvendan,"Handsome, king of beauty",Indian
Ellu,Sesame seed considered sacred,Indian
Elumalai,"Lord Venkateshwara, lord of seven hills",Indian
Eshwar,Lord Shiva,Indian
Etash,Luminous,Indian
Evyavan,Lord Vishnu,Indian
Faakhir,Proud; excellent,Indian
Faaris,Horseman; knight,Indian
Faarooq,One who distinguishes truth from falsehood,Indian
Fadi,The redeemer,Indian
Fadl,Outstanding; Honourable,Indian
Fahad,Lynx,Indian
Faijan,Faijan,Indian
Faisal,Decisive,Indian
Faiyaz,Artistic,Indian
Faiz,Gain,Indian
Fakhry,Honorary,Indian
Falak,The sky,Indian
Falgu,Lovely,Indian
Fanibhusan,Lord Shiva,Indian
Fanindra,The cosmic serpent Shesh,Indian
Fanish,The cosmic serpent Shesh,Indian
Fanishwar,"Lord of serpents, Vasuki",Indian
Faraz,Equitable,Indian
Fareed,Unique,Indian
Farhad,Happiness,Indian
Farhat,Happiness,Indian
Farid,Wide,Indian
Faris,"Ability to discern, perspicacity",Indian
Farooque,Please advise us the meaning of this name.,Indian
Farukh,Farokh power of discrimination,Indian
Fateen,"Clever, smart",Indian
Fateh,Victory,Indian
Fatik,Crystal,Indian
Fawaz,Successful,Indian
Fidaa,Sacrifice,Indian
Firdaus,Paradise,Indian
Firdous ziya,Firdous ziya,Indian
Firoz,Name of a king,Indian
Fiyan,"Independent, Enthusiasm, Admirer",Indian
Fravash,Guardian angel,Indian
Fuad,Heart,Indian
Gagal,Gagal,Indian
Gagan,"Sky, heaven",Indian
Gaganvihari,One who stays in heaven,Indian
Gajanan,One with elephant face,Indian
Gajanand,Lord Ganesh,Indian
Gajendra,Elephant king,Indian
Gajodhar,Gajodhar,Indian
Ganaka,One who calculates,Indian
Ganapati,Lord Ganesh,Indian
Gandesha,Lord of fragrance,Indian
Gandhar,Fragrance,Indian
Gandharaj,King of fragrance,Indian
Gandira,Hero,Indian
Ganendra,Lord of a troop,Indian
Gangeya,Of the Ganga,Indian
Gangol,A precious,Indian
Ganjan,Surpassing,Indian
Ganpat,Please advise us the meaning of this name!,Indian
Garbhit,Please advise us the meaning of this name.,Indian
Garisht,Heaviest,Indian
Gaurinath,Lord Shiva,Indian
Gauyash,Please advise us the meaning of this name.,Indian
Gavish,Please advise us the meaning of this name.,Indian
Gavisht,Abode of light,Indian
Gayak,Singer,Indian
Gayan,Sky,Indian
Ghalib,Excellent,Indian
Ghana Ram,Please advise us the meaning of this name.,Indian
Girbani,Please advise us the meaning of this name.,Indian
Giridari,Lord Krishna,Indian
Girik,Lord Shiva,Indian
Girilal,Son of mountain,Indian
Girl,Girls,Indian
Goloo yadav,Shinu yadav,Indian
Gopichand,Name of a king,Indian
Gourav,Add this name,Indian
Govind,Cowherd,Indian
Grahish,Lord of the planets,Indian
Granthik,"Astrologer, narrator",Indian
Grihith,"Understood, accepted",Indian
Griteesh,Please advise us the meaning of this name.,Indian
Gudakesha,The archer Arjuna,Indian
Gulam warish,Gulam warish,Indian
Gulfam,The colour,Indian
Gulzar,Gardener,Indian
Gunalan,Filled with virtue,Indian
Gunayukth,Endowed with virtue,Indian
Gunjan,Buzzing of a bee,Indian
Gunveer,Please advise us the meaning of this name.,Indian
Gunwant,Virtuous,Indian
Gupil,A secret,Indian
Gurbachan,Promise of the guru,Indian
Gurcharan,Feet of the guru,Indian
Gurdayal,Compassionate guru,Indian
Gurdeep,Lamp of the guru,Indian
Gurik,Please advise us the meaning of this name.,Indian
Gurmeet,Friend of the guru,Indian
Gurnam,Name of the guru,Indian
Gurpreet,Love of the teacher,Indian
Gursharan,Refuge at the guru,Indian
Gurudev,Please advise us the meaning of this name!,Indian
Gurvish,Please advise us the meaning of this name!,Indian
Gyanadyuti,Please advise us the meaning of this name.,Indian
Gyandev,Lord of knowledge,Indian
GYASU,CHALLANGER,Indian
Habib,Beloved,Indian
Hafiz,Protected,Indian
Hakam,Male,Indian
Hakesh,Lord of sound,Indian
Hamid,Friend,Indian
Hamir,A raga,Indian
Hanisha,Add name,Indian
Hansaraj,King of a swan,Indian
Hanumant,The monkey god of Ramayana,Indian
Hardeep,God's light,Indian
Harebindu,Please advise us the meaning of this name.,Indian
Harekrishna,Lord Krishha,Indian
Hargun,One having Godly character or merits.,Indian
Haridas,Servant of Krishna,Indian
Harikanth,Dear to Indra,Indian
Harilal,Son of Hari,Indian
Harinaksh,Lord Shiva,Indian
Hariom,Lord Vishnu,Indian
Hariprasad,Blessed by Lord Krishna,Indian
Hariraj,King of lions,Indian
Hariram,Lord Rama,Indian
Haritbaran,Green,Indian
Harith,Lion,Indian
Harjeet,Victorious,Indian
Harkrishna,Lord Krishna,Indian
Haroon,Hope,Indian
Harsh,Happiness,Indian
Harshal,Lover,Indian
Harshaman,Full of joy,Indian
Harshavardhan,Creator of joy,Indian
Harshesh,Please advise us the meaning of this name.,Indian
Harshul,Deer,Indian
Harshvardhan,One who increases joy,Indian
Harsukhjeet,Please advise us the meaning of this name.,Indian
Haseeb,Haseeb,Indian
Hashmat,"Glory, joyful",Indian
Hasib,Please advise us the meaning of this name!,Indian
Hassan,An Islamic,Indian
Heer,Diamond,Indian
Hem,Gold,Indian
Hemadri,Mountain of gold,Indian
Hemamdar,Golden creeper,Indian
Heman,"Golden yellow, made of gold",Indian
Hemang,One with shining body,Indian
Hemaraj,King of gold,Indian
Henis,Please advise us the meaning of this name.,Indian
Hetraj,Please advise us the meaning of this name.,Indian
Hidarth,Lover boy,Indian
Himavari,Himavari,Indian
Himnish,Lord Shiva,Indian
Hirdesh,Please advise us the meaning of this name!,Indian
Hiyaan,Please advise us the meaning of this name.,Indian
Honesh,Please advise us the meaning of this name.,Indian
Honest lover boy,Lovely boy,Indian
Honest preson,Lovely boy and girl,Indian
Hp Pradhan,Attitude ke tu bahut sahi ho,Indian
Hriday,Heart,Indian
Hridayanand,Joy of the heart,Indian
Hridaynath,Beloved,Indian
Hridik,"Lord of the heart, beloved",Indian
Hriman,Wealthy,Indian
Hrishikesh,One who controls senses,Indian
Hritish,Lord of heart,Indian
Hrushikesh,Hrushikesh full name of meaning,Indian
Hurditya,Joyous,Indian
Hussain,"Islamic thinker, saint",Indian
Ibhanan,Elephant faced,Indian
Ibhya,Possessor of many attendants,Indian
Ibrahim,Abraham; earth,Indian
Idrees,Name mining,Indian
Idris,Fiery Lord,Indian
Iham,Expected,Indian
Ihit,Prize; honour,Indian
Ikshraj,My name is different,Indian
Ilaiyavan,Youthful,Indian
Ilamporai,Prince,Indian
Ilamurugu,Young lord Murugan,Indian
Ilancheliyan,Full of youthful potential,Indian
Ilandevan,Young master,Indian
Ilango,Chera Prince who wrote Tamil masterpiece Silappadhikaram,Indian
Ilanthirayan,Young man whose influence extends beyond the seas,Indian
Ilavalagan,Young and handsome,Indian
Ilavarasan,Prince,Indian
Ilyas,Please advise us the meaning of this name!,Indian
Imaran,Strong,Indian
Imichand,Please advise us the meaning of this name!,Indian
Imlesh,Champion,Indian
Imran,Please advise us the meaning of this name.,Indian
Imtiaz,Power of discrimination,Indian
Inakanta,Beloved of sun,Indian
Inbanathan,Happy,Indian
Indeever,Blue lotus,Indian
Indian army,Indian army,Indian
Indradutt,Gift of Indra,Indian
Indrajeet,Conqueror,Indian
Indrajit,Conquerer of Indra,Indian
Indrakanta,Lord Indra,Indian
Indrasuta,Son of Indra,Indian
Indratan,As strong as Indra,Indian
Induhasan,Like a moon,Indian
Indukanta,Like a moon,Indian
Indulal,Moon's lustre,Indian
Indumat,Respected by moon,Indian
Inesh,A strong king,Indian
Inhak,Sand mail y name list uniuq,Indian
Iniyavan,Pleasant natured,Indian
Intekhab,Chosen,Indian
Iqbal,Desire,Indian
Irada,Please advise us the meaning of this name.,Indian
Iraiyavan,Blessed by the supreme,Indian
Irfan,Knowledgable,Indian
Irfan afsana,Irfan ali afsana khtun,Indian
Iri,"Hanuman, son of wind god",Indian
Irshaad,Signal,Indian
Irya,Powerful,Indian
Isaiarasu,King of music,Indian
Isaivalan,Skilled musician,Indian
Isar,Eminent; Lord Shiva,Indian
Ishpal,Ishpal name meaning,Indian
Ishwinder,God and Goddess of heaven,Indian
Istakhar,Please advise us the meaning of this name.,Indian
Itish,Such a lord,Indian
Ivaan,Please advise us the meaning of this name.,Indian
Iyyappan,"Lord Iyyappan, youthful",Indian
Izaan,Please advise us the meaning of this name.,Indian
Izhar,Submission,Indian
Jadhav,A yadava,Indian
Jafar,Please advise us the meaning of this name.,Indian
Jagachandra,Moon of the universe,Indian
Jagad,Universe,Indian
Jagadayu,Life spring of the universe,Indian
Jagadbandu,Lord Krishna,Indian
Jagadev,Lord of the world,Indian
Jagadhidh,Lord of the world,Indian
Jagadip,Lamp of the universe,Indian
Jagadish,Lord of the universe,Indian
Jagajeevan,Life of the world,Indian
Jaganmay,Spread over the universe,Indian
Jagath,The universe,Indian
Jagdish,Please advise us the meaning of this name.,Indian
Jagesh,Lord of the world,Indian
Jagjeevan,Worldly life,Indian
Jagmender,Please advise us the meaning of this name!,Indian
Jagmohan,One who attracts the world,Indian
Jagulal,Please advise us the meaning of this name.,Indian
Jahan,The world,Indian
Jai,Conqueror,Indian
Jaichand,Victory of the moon,Indian
Jaidayal,Victory of kindness,Indian
Jaidev,God of victory,Indian
Jaigath,Victorious,Indian
Jaigopal,Victory of Lord Krishna,Indian
Jaikrishna,Victory of Lord krishna,Indian
Jaimini,An ancient philosopher,Indian
Jainarayan,Victory,Indian
Jainew,Please advise us the meaning of this name!,Indian
Jaipal,Lord Brahma,Indian
Jairaj,Lord of victory,Indian
Jaisal,Famous folk,Indian
Jaishankar,Victory of Lord Shiva,Indian
Jaisor,Please advise us the meaning of this name.,Indian
Jaisukh,Joy of winning,Indian
Jaiteej,Please advise us the meaning of this name.,Indian
Jaitra,Leading to vitory,Indian
Jaiwant,Victory,Indian
Jaka,My thinking pless replay,Indian
Jalad,Giving water,Indian
Jalal,Glory,Indian
Jalendra,Lord of the water,Indian
Jalil,Revered,Indian
Jalindra,Lord of the water,Indian
Jameerullha,Menung,Indian
Jamshed,Please advise us the meaning of this name.,Indian
Janamejay,Janardan Lord Vishnu,Indian
Janav,Protecting men,Indian
Janith,Born,Indian
Janvi,Please advise us the meaning of this name.,Indian
Japan,Muttering prayers,Indian
Japesh,Lord of chants-lord Shiva,Indian
Jasamit,Protected by fame,Indian
Jasapal,Very famous,Indian
Jasbeer,Victorious hero,Indian
Jash,Good wishes; God is gracious,Indian
Jashan,Celebration,Indian
Jashun,Celebration,Indian
Jasit,Victory,Indian
Jaspal,Lord Krishna,Indian
Jasraj,King of fame,Indian
Jasveer,Hero of fame,Indian
Jasvinder,Please advise us the meaning of this name!,Indian
Jatinder,Please advise us the meaning of this name.,Indian
Jatya,Pleasing,Indian
Javed,Immortal,Indian
Javin,Swift,Indian
Jayad,Causing victory,Indian
Jayadeep,Light of victory,Indian
Jayaditya,Victorious sun,Indian
Jayant,Victorious,Indian
Jayanta,Lord Vishnu,Indian
Jayashekhar,Crest of victory,Indian
Jaysukh,Pleasure of victory,Indian
Jeeka,Jeeka,Indian
Jeemutbahan,Full of life,Indian
Jehangir,Akbar's son,Indian
Jhoomer,Ornament,Indian
Jigeesha,Strifes to triumph.,Indian
Jignesh,Curiosity to research,Indian
Jigyansh,Want to know the meaning in hindi,Indian
Jihan,The world,Indian
Jinan,Please advise us the meaning of this name.,Indian
Jinendra,Lord of life,Indian
Jishan,Please advise us the meaning of this name.,Indian
Jitansh,Please advise us the meaning of this name.,Indian
Jitendra,Lord of conquerers,Indian
Jitesh,Please advise us the meaning of this name.,Indian
Jivitesh,God,Indian
Jiydeep,It is same as Jaydeep or Joydeep,Indian
Jnyandeep,Light of knowledge,Indian
Jnyaneshwar,God of wisdom,Indian
Jogindra,Joginder Lord Shiva,Indian
Jograj,Lord Krishna,Indian
Jugnu,A firefly,Indian
Jujhar,One who struggles,Indian
Jusal,Pari,Indian
Jyotichandra,Splendour,Indian
Jyotiprakash,Splendour of the flame,Indian
Jyotiranjan,Joyous flamae,Indian
Jyotirdhar,Holder of the flame,Indian
Jyotirmoy,Lustrous,Indian
Kachhawha,Male(boy),Indian
Kailas,Abode of Lord Shiva,Indian
Kailashchandra,Lord Shiva,Indian
Kailashnath,Lord Shiva,Indian
Kaiser,Please advise us the meaning of this name.,Indian
Kaithal,Please advise us the meaning of this name.,Indian
Kalapriya,Lover of art,Indian
Kalicharan,Devotee of Goddess Kali,Indian
Kalimohan,A devotee of Goddess Kali,Indian
Kalipada,A devotee of Goddess Kali,Indian
Kaliranjan,Devotee of Goddess Kali,Indian
Kalith,Understood,Indian
Kalpa,"Able, fit",Indian
Kalvendra,Please add my name,Indian
Kamal,Lotus flower,Indian
Kamalakar,Lord Vishnu,Indian
Kamalapati,Lord Vishnu,Indian
Kamalnayan,Lotus eyed,Indian
Kaman,Desired,Indian
Kamat,Unrestrained,Indian
Kamik,Desired,Indian
Kamod,A raga,Indian
Kamraj,Cupid,Indian
Kamran,Success,Indian
Kamukh,Passionate,Indian
Kanad,An ancient,Indian
Kanal,Shining,Indian
Kandan,Cloud,Indian
Kandarpa,Cupid,Indian
Kanha,Krishna,Indian
Kanhaiyalal,Lord Krishna,Indian
Kanishka,Name of a king,Indian
Kanishta,Youngest,Indian
Kannu,Please advise us the meaning of this name.,Indian
Kantilal,Lustrous,Indian
Kantimoy,Lustrous,Indian
Kanu,Lord Krishna,Indian
Kanvar,Young prince,Indian
